County,Year,Sex,Age,White,Hispanic,Asian,Pac.Isl,Black,Amer.Ind,Multirace
1,2000,F,41,5453,1790,2645,92,1872,60,273
1,2000,F,42,5460,1697,2607,83,1885,51,265
1,2000,F,43,5456,1569,2538,70,1754,54,254
1,2000,F,44,5394,1558,2484,70,1757,63,239
1,2000,F,45,5445,1532,2485,62,1835,60,233
1,2000,F,46,5328,1423,2337,68,1676,59,219
1,2000,F,47,5310,1306,2266,64,1765,55,227
1,2000,F,48,5204,1197,2190,51,1679,60,199
1,2000,F,49,5179,1181,2174,54,1629,55,182
1,2000,F,50,5274,1179,2246,69,1728,46,199
1,2000,F,51,5099,1126,2085,58,1597,64,178
1,2000,F,52,5206,1089,1870,43,1508,53,172
1,2000,F,53,5387,1001,1721,36,1433,52,166
1,2000,F,54,4387,884,1479,35,1186,46,146
1,2000,F,55,4132,841,1363,30,1164,40,133
1,2000,F,56,3921,759,1284,28,1059,34,127
1,2000,F,57,3776,755,1202,25,987,26,124
1,2000,F,58,3308,668,1166,20,973,30,106
1,2000,F,59,2915,659,1144,25,918,36,91
1,2000,F,60,2775,694,1103,29,884,32,96
1,2000,F,61,2658,603,1065,25,783,22,86
1,2000,F,62,2464,573,1082,26,751,15,87
1,2000,F,63,2274,558,1099,24,725,19,79
1,2000,F,64,2163,506,1079,24,668,18,72
1,2000,F,65,2219,505,1106,24,735,14,71
1,2000,F,66,2075,445,1065,26,650,9,69
1,2000,F,67,2016,462,986,18,637,17,65
1,2000,F,68,1994,468,958,21,577,15,62
1,2000,F,69,1984,459,949,15,589,12,62
1,2000,F,70,2154,465,943,12,648,10,63
1,2000,F,71,2074,396,888,13,593,11,54
1,2000,F,72,2046,392,841,18,588,12,49
1,2000,F,73,2160,397,815,15,613,13,48
1,2000,F,74,2307,368,824,12,638,12,51
1,2000,F,75,2301,336,767,11,628,13,43
1,2000,F,76,2272,317,715,13,585,15,40
1,2000,F,77,2209,302,615,8,541,10,42
1,2000,F,78,2246,276,539,4,521,9,41
1,2000,F,79,2127,248,533,5,490,7,48
1,2000,F,80,1980,216,455,6,501,9,42
1,2000,F,81,1800,201,393,7,441,5,28
1,2000,F,82,1679,178,347,9,414,5,23
1,2000,F,83,1542,158,307,4,358,6,17
1,2000,F,84,1445,143,281,3,300,8,16
1,2000,F,85,1355,127,262,2,303,7,12
1,2000,F,86,1294,108,234,2,263,5,13
1,2000,F,87,1113,110,188,3,213,8,9
1,2000,F,88,990,98,145,2,182,5,9
1,2000,F,89,861,68,130,2,149,3,7
1,2000,F,90,717,65,102,3,121,2,8
1,2000,F,91,580,52,78,2,102,2,4
1,2000,F,92,503,39,56,1,91,0,3
1,2000,F,93,438,43,46,0,76,1,3
1,2000,F,94,360,24,36,0,56,1,3
1,2000,F,95,254,21,34,0,50,0,3
1,2000,F,96,208,12,24,0,46,0,2
1,2000,F,97,146,13,18,0,39,0,1
1,2000,F,98,88,15,21,0,25,0,1
1,2000,F,99,87,10,14,1,22,0,1
1,2000,F,100,138,11,27,0,49,0,1
1,2000,M,0,2905,3025,2033,57,1344,30,755
1,2000,M,1,2788,2983,1985,76,1346,37,606
1,2000,M,2,2793,2913,2007,82,1452,30,602
1,2000,M,3,2841,2896,2132,77,1539,36,585
1,2000,M,4,2914,2877,2141,75,1620,32,576
1,2000,M,5,3082,2971,2178,95,1632,44,596
1,2000,M,6,3068,2904,2214,87,1720,38,550
1,2000,M,7,3113,2934,2128,82,1785,44,532
1,2000,M,8,3228,2801,2177,88,1800,55,528
1,2000,M,9,3282,2748,2108,81,1874,48,550
1,2000,M,10,3287,2669,2052,76,1968,48,524
1,2000,M,11,3214,2445,2110,89,1825,45,478
1,2000,M,12,3212,2398,2002,90,1706,49,470
1,2000,M,13,3174,2223,1876,86,1603,47,453
1,2000,M,14,3211,2168,1882,95,1561,40,453
1,2000,M,15,3120,2194,1963,79,1568,40,387
1,2000,M,16,3044,2244,1970,89,1553,34,379
1,2000,M,17,3125,2365,1947,76,1557,50,362
1,2000,M,18,3014,2559,2038,84,1488,42,364
1,2000,M,19,3031,2780,2322,93,1336,39,352
1,2000,M,20,3163,3058,2539,91,1347,37,312
1,2000,M,21,3075,3086,2454,84,1278,49,305
1,2000,M,22,3179,3161,2233,81,1178,53,292
1,2000,M,23,3261,3120,2266,70,1216,49,257
1,2000,M,24,3458,3257,2297,73,1271,36,284
1,2000,M,25,3752,3349,2494,70,1312,38,301
1,2000,M,26,3715,3352,2566,75,1256,39,297
1,2000,M,27,3910,3374,2811,82,1317,47,286
1,2000,M,28,4100,3351,2897,74,1340,42,293
1,2000,M,29,4555,3481,2988,82,1491,43,309
1,2000,M,30,5165,3412,3078,84,1731,56,308
1,2000,M,31,4873,3032,2995,85,1579,59,283
1,2000,M,32,4627,2944,2827,75,1441,70,257
1,2000,M,33,4641,2817,2701,78,1452,41,256
1,2000,M,34,4823,2802,2749,84,1558,46,267
1,2000,M,35,5355,2815,3011,86,1762,74,271
1,2000,M,36,5464,2561,3048,104,1624,58,262
1,2000,M,37,5444,2384,3001,95,1617,48,253
1,2000,M,38,5550,2306,2722,90,1666,48,253
1,2000,M,39,5580,2104,2611,84,1651,65,257
1,2000,M,40,5856,2175,2779,98,1823,55,279
1,2000,M,41,5537,1984,2652,90,1613,57,238
1,2000,M,42,5635,1843,2509,84,1529,56,243
1,2000,M,43,5492,1777,2412,69,1464,53,225
1,2000,M,44,5535,1688,2351,74,1460,44,207
1,2000,M,45,5520,1630,2381,72,1591,53,220
1,2000,M,46,5316,1416,2226,63,1491,46,204
1,2000,M,47,5327,1276,2044,56,1403,49,174
1,2000,M,48,5207,1235,1993,55,1300,47,164
1,2000,M,49,4939,1140,1929,58,1289,44,159
1,2000,M,50,5217,1163,2032,56,1453,38,162
1,2000,M,51,5066,1036,1870,59,1332,39,151
1,2000,M,52,5127,998,1744,53,1237,42,147
1,2000,M,53,5282,914,1525,49,1146,52,147
1,2000,M,54,4377,799,1346,40,975,37,120
1,2000,M,55,4066,797,1256,36,937,28,126
1,2000,M,56,3884,720,1154,41,911,38,113
1,2000,M,57,3892,657,1054,30,866,27,101
1,2000,M,58,3334,625,949,21,770,32,98
1,2000,M,59,2890,558,980,25,751,32,77
1,2000,M,60,2754,554,1023,23,754,24,83
1,2000,M,61,2573,521,926,26,697,19,72
1,2000,M,62,2403,457,904,25,606,18,64
1,2000,M,63,2152,457,863,15,615,11,66
1,2000,M,64,2006,449,823,16,613,11,58
1,2000,M,65,1985,426,854,22,588,14,51
1,2000,M,66,1851,385,829,18,499,12,49
1,2000,M,67,1813,366,782,17,490,4,53
1,2000,M,68,1786,362,754,20,471,5,46
1,2000,M,69,1735,361,751,15,460,7,45
1,2000,M,70,1749,333,733,12,432,7,35
1,2000,M,71,1672,333,672,17,390,9,39
1,2000,M,72,1648,311,634,10,405,10,34
1,2000,M,73,1655,278,619,7,411,11,35
1,2000,M,74,1618,252,561,4,435,7,35
1,2000,M,75,1599,268,578,8,388,7,32
1,2000,M,76,1577,254,528,7,346,8,25
1,2000,M,77,1498,200,476,4,344,9,26
1,2000,M,78,1526,191,408,3,346,5,29
1,2000,M,79,1384,194,361,3,314,7,30
1,2000,M,80,1256,147,368,3,312,5,28
1,2000,M,81,1118,118,274,2,227,3,24
1,2000,M,82,1002,98,232,2,209,4,15
1,2000,M,83,884,82,218,5,162,3,8
1,2000,M,84,810,75,174,3,161,2,11
1,2000,M,85,777,62,139,4,142,3,10
1,2000,M,86,659,58,138,2,108,2,10
1,2000,M,87,513,54,119,1,87,2,7
1,2000,M,88,411,52,105,1,77,0,5
1,2000,M,89,342,36,88,2,67,3,6
1,2000,M,90,280,29,64,1,49,3,6
1,2000,M,91,231,29,43,0,33,2,3
1,2000,M,92,165,23,48,0,20,1,3
1,2000,M,93,125,10,36,1,20,0,3
1,2000,M,94,107,10,22,0,24,0,2
1,2000,M,95,73,7,13,0,17,0,1
1,2000,M,96,49,3,10,1,14,1,2
1,2000,M,97,32,3,10,0,12,0,2
1,2000,M,98,20,3,7,0,9,0,0
1,2000,M,99,17,2,4,0,6,0,0
1,2000,M,100,27,1,8,0,12,0,1
2,2000,F,0,5,0,0,0,0,4,1
2,2000,F,1,4,2,0,0,0,3,0
2,2000,F,2,1,2,0,0,0,3,0
2,2000,F,3,2,3,0,0,0,2,0
2,2000,F,4,2,4,0,0,0,2,0
2,2000,F,5,0,1,0,0,0,3,1
2,2000,F,6,1,0,0,0,0,2,0
2,2000,F,7,4,0,0,0,0,2,0
2,2000,F,8,6,1,0,0,0,3,1
2,2000,F,9,4,1,0,0,0,2,0
2,2000,F,10,6,3,0,0,0,0,1
2,2000,F,11,7,2,0,0,0,1,0
2,2000,F,12,4,2,0,0,0,2,0
2,2000,F,13,6,2,0,0,0,1,1
2,2000,F,14,6,2,0,0,0,2,0
2,2000,F,15,6,3,0,0,0,2,0
2,2000,F,16,10,1,0,0,0,2,0
2,2000,F,17,7,1,0,0,0,4,2
2,2000,F,18,5,2,0,0,0,1,1
2,2000,F,19,6,1,0,0,0,1,1
2,2000,F,20,6,0,0,1,0,2,1
2,2000,F,21,4,0,0,0,0,2,0
2,2000,F,22,3,1,0,0,0,2,0
2,2000,F,23,3,0,0,0,0,3,2
2,2000,F,24,5,1,0,0,0,1,1
2,2000,F,25,4,0,0,0,0,0,0
2,2000,F,26,3,0,0,0,1,1,0
2,2000,F,27,3,1,0,0,0,0,0
2,2000,F,28,5,0,0,0,0,2,0
2,2000,F,29,6,0,0,0,0,3,0
2,2000,F,30,4,0,0,0,0,1,0
2,2000,F,31,3,0,0,0,0,3,0
2,2000,F,32,8,0,0,0,0,2,0
2,2000,F,33,8,0,0,0,0,1,0
2,2000,F,34,4,0,0,0,0,1,0
2,2000,F,35,3,0,0,0,0,0,0
2,2000,F,36,4,2,0,0,0,2,0
2,2000,F,37,8,0,0,0,0,3,0
2,2000,F,38,7,0,0,0,0,3,0
2,2000,F,39,6,0,0,0,0,3,0
2,2000,F,40,6,0,0,0,0,4,0
2,2000,F,41,7,0,0,0,0,2,0
2,2000,F,42,7,1,0,0,0,2,0
2,2000,F,43,11,2,0,0,0,1,0
2,2000,F,44,9,1,0,0,0,1,1
2,2000,F,45,9,0,0,0,1,2,0
2,2000,F,46,6,1,0,0,0,2,0
2,2000,F,47,5,0,0,0,0,1,0
2,2000,F,48,11,0,0,0,0,2,0
2,2000,F,49,7,0,0,0,0,2,0
2,2000,F,50,12,0,0,0,0,0,1
2,2000,F,51,8,1,1,0,0,2,0
2,2000,F,52,6,1,0,0,0,1,0
2,2000,F,53,6,0,0,0,0,0,0
2,2000,F,54,6,1,0,0,0,0,0
2,2000,F,55,9,0,0,0,0,0,0
2,2000,F,56,5,1,0,0,0,2,0
2,2000,F,57,4,0,0,0,0,2,0
2,2000,F,58,3,0,0,0,0,0,0
2,2000,F,59,4,0,0,0,0,2,0
2,2000,F,60,5,1,0,0,0,3,0
2,2000,F,61,6,0,0,0,0,2,0
2,2000,F,62,6,0,0,0,0,0,0
2,2000,F,63,4,1,0,0,0,1,0
2,2000,F,64,5,0,0,0,0,2,0
2,2000,F,65,4,0,0,0,0,1,0
2,2000,F,66,2,0,0,0,0,0,0
2,2000,F,67,5,0,0,0,0,1,0
2,2000,F,68,5,0,0,0,0,1,0
2,2000,F,69,2,0,0,0,0,0,0
2,2000,F,70,2,0,0,0,0,2,0
2,2000,F,71,2,0,0,0,0,2,0
2,2000,F,72,0,0,0,0,0,0,0
2,2000,F,73,1,0,0,0,0,1,0
2,2000,F,74,2,0,0,0,0,0,0
2,2000,F,75,2,0,0,0,0,0,1
2,2000,F,76,2,0,0,0,0,0,0
2,2000,F,77,2,0,0,0,0,0,0
2,2000,F,78,1,0,0,0,0,0,0
2,2000,F,79,3,0,0,0,0,0,0
2,2000,F,80,3,0,0,0,0,1,0
2,2000,F,81,3,0,0,0,0,0,0
2,2000,F,82,2,0,0,0,0,1,0
2,2000,F,83,0,0,0,0,0,0,0
2,2000,F,84,0,0,0,0,0,0,0
2,2000,F,85,0,0,0,0,0,0,0
2,2000,F,86,0,0,0,0,0,0,0
2,2000,F,87,2,0,0,0,0,0,0
2,2000,F,88,1,0,0,0,0,0,0
2,2000,F,89,1,0,0,0,0,1,0
2,2000,F,90,0,0,0,0,0,0,0
2,2000,F,91,0,0,0,0,0,0,0
2,2000,F,92,0,0,0,0,0,0,0
2,2000,F,93,1,0,0,0,0,0,0
2,2000,F,94,0,0,0,0,0,0,0
2,2000,F,95,0,0,0,0,0,0,0
2,2000,F,96,0,0,0,0,0,0,0
2,2000,F,97,0,0,0,0,0,0,0
2,2000,F,98,0,0,0,0,0,0,0
2,2000,F,99,0,0,0,0,0,0,0
2,2000,F,100,1,0,0,0,0,0,0
2,2000,M,0,5,1,0,0,0,1,0
2,2000,M,1,5,1,0,0,1,1,1
2,2000,M,2,2,1,0,0,0,2,1
2,2000,M,3,1,1,0,0,0,2,0
2,2000,M,4,6,0,0,0,0,0,1
2,2000,M,5,6,2,0,0,0,1,0
2,2000,M,6,4,0,0,0,0,0,0
2,2000,M,7,3,3,0,0,0,1,0
2,2000,M,8,3,2,0,0,0,1,0
2,2000,M,9,5,1,0,0,0,1,1
2,2000,M,10,3,1,0,0,0,2,1
2,2000,M,11,4,4,0,0,0,3,0
2,2000,M,12,5,4,0,0,0,1,1
2,2000,M,13,3,3,0,0,0,0,0
2,2000,M,14,3,2,0,0,0,2,1
2,2000,M,15,3,2,0,0,0,3,1
2,2000,M,16,5,1,0,0,1,3,2
2,2000,M,17,6,1,0,0,1,3,1
2,2000,M,18,7,0,0,0,0,2,0
2,2000,M,19,8,0,0,0,0,0,0
2,2000,M,20,12,3,0,0,0,1,2
2,2000,M,21,8,2,0,0,0,1,2
2,2000,M,22,6,0,1,0,0,1,0
2,2000,M,23,4,0,0,0,0,2,1
2,2000,M,24,5,2,0,0,0,1,0
2,2000,M,25,6,1,0,0,0,1,0
2,2000,M,26,3,1,0,0,0,1,0
2,2000,M,27,6,0,1,0,0,2,0
2,2000,M,28,6,0,0,0,0,2,0
2,2000,M,29,6,0,0,0,0,2,0
2,2000,M,30,6,0,0,0,0,1,0
2,2000,M,31,4,0,0,0,0,2,0
2,2000,M,32,3,0,0,0,0,2,0
2,2000,M,33,3,0,0,0,0,1,0
2,2000,M,34,5,0,0,0,0,0,0
2,2000,M,35,6,0,0,0,0,1,0
2,2000,M,36,6,0,0,0,0,1,2
2,2000,M,37,6,3,0,0,0,2,1
2,2000,M,38,6,1,0,0,0,5,1
2,2000,M,39,6,4,0,0,0,4,0
2,2000,M,40,5,4,0,0,0,5,0
2,2000,M,41,6,1,0,0,0,1,1
2,2000,M,42,10,2,0,0,0,1,0
2,2000,M,43,7,2,0,0,1,2,0
2,2000,M,44,9,1,0,0,0,1,0
2,2000,M,45,16,0,0,0,0,1,2
2,2000,M,46,13,0,0,0,0,1,3
2,2000,M,47,10,0,0,0,0,2,1
2,2000,M,48,11,0,1,0,0,2,0
2,2000,M,49,5,1,0,0,0,1,0
2,2000,M,50,8,0,0,0,0,2,0
2,2000,M,51,9,0,0,0,1,3,1
2,2000,M,52,13,0,0,0,0,2,0
2,2000,M,53,13,0,0,0,0,1,0
2,2000,M,54,6,0,0,0,0,0,0
2,2000,M,55,6,1,0,0,0,0,0
2,2000,M,56,3,0,0,0,0,2,0
2,2000,M,57,3,0,0,0,0,2,0
2,2000,M,58,5,0,0,0,0,1,0
2,2000,M,59,2,0,0,0,0,1,0
2,2000,M,60,5,0,0,0,0,0,0
2,2000,M,61,6,0,0,0,0,0,0
2,2000,M,62,6,0,0,0,0,1,0
2,2000,M,63,8,0,0,0,0,0,0
2,2000,M,64,6,0,0,0,0,0,0
2,2000,M,65,4,0,0,0,0,0,0
2,2000,M,66,6,0,0,0,0,0,0
2,2000,M,67,6,0,0,0,0,1,0
2,2000,M,68,6,0,0,0,0,0,0
2,2000,M,69,3,1,0,0,0,0,0
2,2000,M,70,3,1,0,0,0,1,0
2,2000,M,71,3,0,0,0,0,1,0
2,2000,M,72,4,0,0,0,0,0,0
2,2000,M,73,5,0,0,0,0,0,0
2,2000,M,74,2,0,0,0,0,0,0
2,2000,M,75,0,0,0,0,0,1,0
2,2000,M,76,3,0,0,0,0,0,0
2,2000,M,77,4,0,0,0,0,0,0
2,2000,M,78,2,0,0,0,0,0,0
2,2000,M,79,2,0,0,0,0,0,0
2,2000,M,80,1,0,0,0,0,0,0
2,2000,M,81,1,0,0,0,0,0,0
2,2000,M,82,0,0,0,0,0,0,0
2,2000,M,83,0,0,0,0,0,1,0
2,2000,M,84,0,0,0,0,0,0,0
2,2000,M,85,0,0,0,0,0,0,0
2,2000,M,86,3,0,0,0,0,0,0
2,2000,M,87,2,0,0,0,0,0,0
2,2000,M,88,0,0,0,0,0,0,0
2,2000,M,89,0,0,0,0,0,0,0
2,2000,M,90,1,0,0,0,0,0,0
2,2000,M,91,1,0,0,0,0,0,0
2,2000,M,92,0,0,0,0,0,0,0
2,2000,M,93,0,0,0,0,0,0,0
2,2000,M,94,0,0,0,0,0,0,0
2,2000,M,95,0,0,0,0,0,0,0
2,2000,M,96,0,0,0,0,0,0,0
2,2000,M,97,0,0,0,0,0,0,0
2,2000,M,98,0,0,0,0,0,0,0
2,2000,M,99,0,0,0,0,0,0,0
2,2000,M,100,0,0,0,0,0,0,0
3,2000,F,0,100,26,1,0,0,6,5
3,2000,F,1,113,16,2,0,2,3,4
3,2000,F,2,123,20,2,0,1,3,4
3,2000,F,3,115,22,0,0,0,7,3
3,2000,F,4,131,19,1,0,0,5,7
3,2000,F,5,123,17,0,0,1,4,3
3,2000,F,6,126,22,2,0,0,5,5
3,2000,F,7,156,17,1,0,0,3,9
3,2000,F,8,147,16,3,0,0,3,7
3,2000,F,9,169,21,2,0,0,1,7
3,2000,F,10,180,24,2,1,0,9,10
3,2000,F,11,176,18,3,0,2,5,11
3,2000,F,12,186,20,3,0,1,3,9
3,2000,F,13,177,17,2,1,2,1,9
3,2000,F,14,175,21,1,0,2,2,6
3,2000,F,15,171,17,4,1,0,6,5
3,2000,F,16,192,16,3,1,0,4,6
3,2000,F,17,172,21,5,0,0,6,5
3,2000,F,18,128,17,2,0,0,4,6
3,2000,F,19,104,15,0,0,1,2,4
3,2000,F,20,85,14,0,0,0,2,4
3,2000,F,21,73,13,0,1,1,2,1
3,2000,F,22,77,8,0,1,0,3,1
3,2000,F,23,83,12,1,0,2,2,1
3,2000,F,24,84,13,0,0,1,1,1
3,2000,F,25,82,10,0,0,0,2,2
3,2000,F,26,71,9,2,0,0,2,3
3,2000,F,27,89,11,2,0,0,1,3
3,2000,F,28,104,13,1,0,0,2,2
3,2000,F,29,105,17,1,1,0,2,4
3,2000,F,30,92,14,2,0,1,2,3
3,2000,F,31,112,13,3,0,0,2,3
3,2000,F,32,123,8,3,0,0,2,3
3,2000,F,33,122,7,2,1,0,3,2
3,2000,F,34,138,10,2,0,0,3,2
3,2000,F,35,153,13,1,0,0,2,5
3,2000,F,36,164,16,0,0,1,3,5
3,2000,F,37,208,16,2,0,0,2,3
3,2000,F,38,228,12,3,0,0,5,8
3,2000,F,39,225,14,4,0,0,5,6
3,2000,F,40,245,15,3,1,2,3,4
3,2000,F,41,215,10,5,0,1,3,4
3,2000,F,42,206,17,3,0,1,4,2
3,2000,F,43,215,15,2,1,1,3,2
3,2000,F,44,228,14,2,1,2,3,4
3,2000,F,45,235,16,2,0,1,5,6
3,2000,F,46,231,18,1,0,0,4,5
3,2000,F,47,253,11,2,0,1,6,4
3,2000,F,48,245,13,4,0,2,4,3
3,2000,F,49,264,13,2,0,2,4,4
3,2000,F,50,245,18,1,1,1,5,5
3,2000,F,51,217,9,3,0,2,4,5
3,2000,F,52,244,10,3,0,1,6,4
3,2000,F,53,290,11,3,0,1,8,7
3,2000,F,54,231,6,3,1,2,4,6
3,2000,F,55,216,8,3,0,1,6,3
3,2000,F,56,213,11,1,0,0,4,3
3,2000,F,57,200,6,3,0,2,2,4
3,2000,F,58,213,6,3,0,2,1,2
3,2000,F,59,183,7,2,0,0,2,2
3,2000,F,60,201,6,2,0,0,1,4
3,2000,F,61,212,9,1,0,1,2,2
3,2000,F,62,213,5,1,0,0,3,3
3,2000,F,63,190,3,0,0,0,3,2
3,2000,F,64,183,11,0,0,0,3,3
3,2000,F,65,168,8,0,1,1,4,1
3,2000,F,66,163,4,2,0,1,2,1
3,2000,F,67,163,3,1,0,0,2,1
3,2000,F,68,165,3,2,0,1,2,1
3,2000,F,69,153,6,3,0,1,2,1
3,2000,F,70,147,8,1,0,1,3,1
3,2000,F,71,156,7,0,1,0,2,2
3,2000,F,72,186,4,0,0,0,1,3
3,2000,F,73,171,3,2,2,0,2,2
3,2000,F,74,159,3,2,1,0,1,2
3,2000,F,75,151,2,2,0,0,1,2
3,2000,F,76,148,2,1,0,0,2,2
3,2000,F,77,139,4,0,0,0,3,2
3,2000,F,78,146,2,1,0,0,1,2
3,2000,F,79,125,2,0,0,1,1,3
3,2000,F,80,109,4,0,0,0,1,2
3,2000,F,81,101,2,0,0,0,0,0
3,2000,F,82,82,1,0,0,0,1,1
3,2000,F,83,76,1,0,0,0,0,1
3,2000,F,84,74,0,0,0,0,0,1
3,2000,F,85,71,0,0,0,0,0,0
3,2000,F,86,66,2,0,0,0,0,0
3,2000,F,87,51,1,0,0,0,0,0
3,2000,F,88,42,2,0,0,0,2,0
3,2000,F,89,39,2,0,0,0,2,0
3,2000,F,90,38,0,0,0,0,0,0
3,2000,F,91,32,1,1,0,0,0,0
3,2000,F,92,29,0,0,0,0,0,0
3,2000,F,93,17,0,0,0,0,0,0
3,2000,F,94,9,0,0,0,0,0,0
3,2000,F,95,12,0,0,0,0,0,0
3,2000,F,96,8,0,0,0,0,0,0
3,2000,F,97,6,0,0,0,0,0,0
3,2000,F,98,7,0,0,0,0,0,0
3,2000,F,99,4,0,0,0,0,0,0
3,2000,F,100,4,0,0,0,0,0,0
3,2000,M,0,97,30,3,0,0,9,7
3,2000,M,1,107,26,2,0,0,6,6
3,2000,M,2,108,24,2,0,0,3,3
3,2000,M,3,126,14,3,0,0,2,6
3,2000,M,4,131,15,2,0,0,2,4
3,2000,M,5,159,19,0,0,1,2,9
3,2000,M,6,166,18,2,0,1,4,4
3,2000,M,7,153,20,5,0,1,3,3
3,2000,M,8,169,25,2,0,1,3,3
3,2000,M,9,174,22,0,0,1,4,6
3,2000,M,10,187,29,0,0,0,4,10
3,2000,M,11,177,22,3,0,2,3,10
3,2000,M,12,182,19,2,0,1,5,10
3,2000,M,13,204,17,2,0,2,6,5
3,2000,M,14,210,15,3,0,1,3,7
3,2000,M,15,209,21,1,0,2,2,5
3,2000,M,16,206,75,3,0,24,7,6
3,2000,M,17,270,160,9,0,72,10,7
3,2000,M,18,187,139,35,1,87,7,5
3,2000,M,19,129,86,14,2,30,6,3
3,2000,M,20,123,40,9,1,32,6,2
3,2000,M,21,105,39,5,0,21,6,4
3,2000,M,22,92,36,4,0,33,5,3
3,2000,M,23,101,45,5,0,42,2,3
3,2000,M,24,127,36,4,0,35,5,3
3,2000,M,25,112,45,3,0,46,9,4
3,2000,M,26,105,41,5,0,34,4,3
3,2000,M,27,100,35,6,0,38,5,4
3,2000,M,28,114,46,4,0,34,6,3
3,2000,M,29,140,41,2,1,39,4,4
3,2000,M,30,143,42,1,0,56,1,3
3,2000,M,31,137,40,1,0,37,5,3
3,2000,M,32,140,39,4,0,36,5,3
3,2000,M,33,165,42,2,1,43,4,2
3,2000,M,34,180,42,2,0,43,10,2
3,2000,M,35,200,44,1,0,42,7,3
3,2000,M,36,217,46,1,0,35,7,3
3,2000,M,37,213,46,2,0,48,7,6
3,2000,M,38,247,46,3,0,53,8,6
3,2000,M,39,251,44,2,2,41,4,2
3,2000,M,40,275,33,4,1,47,8,2
3,2000,M,41,265,46,3,1,32,8,4
3,2000,M,42,262,27,4,0,32,8,4
3,2000,M,43,252,47,4,0,33,4,2
3,2000,M,44,263,31,3,1,29,4,3
3,2000,M,45,259,33,2,0,29,3,6
3,2000,M,46,241,27,2,0,21,5,6
3,2000,M,47,240,26,3,0,20,6,4
3,2000,M,48,245,18,3,1,13,7,5
3,2000,M,49,250,34,3,0,19,7,4
3,2000,M,50,251,28,1,0,15,6,4
3,2000,M,51,233,17,5,0,14,6,3
3,2000,M,52,262,28,3,0,13,5,3
3,2000,M,53,294,17,3,0,5,4,3
3,2000,M,54,246,17,1,0,7,4,3
3,2000,M,55,211,12,0,0,6,3,3
3,2000,M,56,216,9,1,0,2,2,3
3,2000,M,57,225,10,0,0,2,2,3
3,2000,M,58,210,11,1,0,3,4,3
3,2000,M,59,190,9,1,0,4,3,2
3,2000,M,60,187,10,1,0,2,2,2
3,2000,M,61,189,8,0,1,2,3,1
3,2000,M,62,199,9,2,0,3,3,2
3,2000,M,63,178,4,3,0,2,3,2
3,2000,M,64,175,5,1,0,0,1,2
3,2000,M,65,169,4,0,0,0,2,3
3,2000,M,66,164,7,1,0,1,2,6
3,2000,M,67,157,8,1,0,0,0,2
3,2000,M,68,161,4,0,0,2,0,2
3,2000,M,69,163,8,1,0,1,1,2
3,2000,M,70,159,8,2,0,0,2,2
3,2000,M,71,152,6,2,0,0,2,3
3,2000,M,72,159,6,2,0,3,0,2
3,2000,M,73,169,5,1,0,3,0,2
3,2000,M,74,163,5,0,0,1,0,3
3,2000,M,75,149,3,0,0,2,0,1
3,2000,M,76,137,2,0,0,1,2,0
